#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="83.9",engine_hours="83.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Temp1 (deg F),Temp2 (deg F),Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,,,E1 FFlow,PTrim,RTrim,Flaps,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-08-22,11:32:46,18:32:46,-07:00,+37.5104135,-122.4908792,66,3D (SFD1),66765.7,0.0,,-0,-0,-0.00,,1.6,10,81,6,-9,0.0,-0,,,-0.017,0.976,+0.783,,300,,,,29.84,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,17.8,435,,,081001F8 A26 A26,11,,,,,64,17,16,0.0,0,0,29.7,12.3,0,5,68,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,,,72
2021-08-22,11:32:46,18:32:46,-07:00,+37.5104134,-122.4908780,66,3D (SFD1),66766.5,0.0,,-0,-0,-0.00,,1.6,10,81,34,-8,0.0,-0,,,-0.014,0.975,+0.926,,300,,,,29.87,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,17.8,435,,,081001F8 A29 A29,8,,,,,64,17,16,0.0,0,0,29.7,12.3,0,5,69,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:32:47,18:32:47,-07:00,+37.5104132,-122.4908770,66,3D (SFD1),66767.4,0.0,,-0,-0,0.00,,1.6,10,82,35,20,0.0,-0,,,-0.013,0.975,+1.160,,300,,,,29.87,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,17.8,434,,,081001F8 A31 A31,9,,L+,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,5,69,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:32:48,18:32:48,-07:00,+37.5104130,-122.4908759,66,3D (SFD1),66768.4,0.0,,-0,-0,0.00,,1.6,10,82,35,6,0.0,-0,,,-0.015,0.976,+1.421,,300,,,,29.87,122.800,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,-13.2,17.8,434,,,081101F8 A33 A33,7,,,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,5,70,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:32:49,18:32:49,-07:00,+37.5104125,-122.4908741,66,3D (SFD1),66769.4,0.0,,-0,-0,-0.00,,1.6,10,82,35,2,0.0,-0,,,-0.021,0.975,+1.601,,300,,,,29.87,122.800,GPS1,,,,,,,,,ENR,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.2,17.8,433,,,081101F8 A35 A35,9,,,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,5,70,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:32:50,18:32:50,-07:00,+37.5104123,-122.4908721,66,3D (SFD1),66770.4,0.0,,-0,-0,0.00,,1.6,10,82,44,-9,0.0,-0,,,-0.013,0.975,+1.960,,300,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,17.8,432,,,081101F8 A37 A37,12,,,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,5,71,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:32:51,18:32:51,-07:00,+37.5104119,-122.4908702,66,3D (SFD1),66771.4,0.0,,-0,-0,0.00,,1.6,10,82,44,0,0.1,2,,,-0.011,0.979,+4.916,,300,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,17.8,431,,,081101F8 A39 A39,12,,,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,5,71,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:32:52,18:32:52,-07:00,+37.5104116,-122.4908683,66,3D (SFD1),66772.5,0.0,,-0,-0,-0.00,,1.6,10,82,44,2,2.1,1,,,-0.014,0.974,+7.346,,300,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,17.8,430,,,081101F8 A41 A41,12,,,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,5,71,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:32:53,18:32:53,-07:00,+37.5104111,-122.4908671,66,3D (SFD1),66773.5,0.0,,-0,-0,-0.00,,1.6,10,82,44,-7,0.0,0,,,-0.014,0.978,+13.361,,300,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,17.8,429,,,081101F8 A44 A44,9,,,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,5,72,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:32:54,18:32:54,-07:00,+37.5104108,-122.4908656,66,3D (SFD1),66774.5,0.0,,-0,-0,-0.00,,1.6,10,82,44,1,-0.0,0,,,-0.017,0.975,+16.275,,300,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,17.8,427,,,081101F8 A46 A46,9,,,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,5,72,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:32:56,18:32:56,-07:00,+37.5109506,-122.4908835,94,3D,66793.5,0.0,,0,0,0.01,,3.7,4,82,44,-1,-0.0,0,,,-0.015,0.976,+16.181,,300,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,-13.2,17.8,426,,,040001F8 A48 A48,28,,,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,5,72,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:32:57,18:32:57,-07:00,+37.5109491,-122.4908845,94,3D,66794.5,0.0,,0,0,0.01,,2.9,4,82,44,14,0.0,-0,,,-0.016,0.977,+15.364,,300,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,17.7,425,,,040001F8 A50 A50,7,,,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,5,73,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:32:58,18:32:58,-07:00,+37.5109511,-122.4908841,95,3D,66795.5,0.0,,0,0,0.00,,2.9,4,83,44,20,0.1,1,,,-0.017,0.976,+14.788,,300,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,17.7,424,,,040001F8 A52 A52,6,,L+,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,5,73,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:32:59,18:32:59,-07:00,+37.5109506,-122.4908840,95,3D,66796.5,0.0,,0,0,-0.00,,2.9,4,83,45,13,1.0,2,,,-0.015,0.976,+21.655,,300,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,17.7,423,,,040001F8 A54 A54,7,,L+,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,6,74,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:33:00,18:33:00,-07:00,+37.5109449,-122.4908852,95,3D,66797.5,0.0,,0,0,-0.00,,2.9,4,83,45,4,2.1,2,,,-0.015,0.978,+42.853,,300,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,17.7,421,,,040001F8 A56 A56,6,,,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,6,74,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:33:01,18:33:01,-07:00,+37.5109384,-122.4908874,95,3D,66798.5,0.0,,0,0,0.00,,2.9,4,83,45,-1,0.0,0,,,-0.014,0.978,+86.490,,300,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,17.7,420,,,040001F8 A58 A58,7,,,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,6,75,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:33:02,18:33:02,-07:00,+37.5109307,-122.4908900,95,3D,66799.5,0.0,,0,0,-0.00,,2.9,4,83,45,9,0.2,1,,,-0.016,0.976,+146.618,,120,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,17.7,419,,,040001F8 A61 A61,10,,,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,6,75,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:33:03,18:33:03,-07:00,+37.5109212,-122.4908934,95,3D,66800.5,0.0,,0,0,-0.00,,2.9,4,83,45,6,0.4,1,,,-0.014,0.978,+203.622,,120,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,17.7,418,,,040001F8 A64 A64,7,,,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,6,75,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:33:04,18:33:04,-07:00,+37.5109117,-122.4908961,94,3D,66801.5,0.0,,0,0,-0.00,,2.9,4,83,45,0,3.9,3,,,-0.015,0.975,+202.226,,120,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,17.7,417,,,040001F8 A67 A67,6,,,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,6,76,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:33:05,18:33:05,-07:00,+37.5109006,-122.4908977,94,3D,66802.5,0.0,,0,0,-0.00,,2.9,4,83,45,-7,-0.2,-0,,,-0.015,0.975,+170.213,,120,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,17.7,416,,,040001F8 A70 A70,7,,,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,6,76,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
2021-08-22,11:33:06,18:33:06,-07:00,+37.5108894,-122.4908993,93,3D,66803.5,0.0,,0,0,-0.00,,2.9,4,83,45,-8,-0.0,0,,,-0.018,0.976,+121.883,,120,,,,29.88,122.800,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,17.7,415,,,040001F8 A73 A73,7,,,1200,ALT,64,17,16,0.0,0,0,29.7,12.3,0,6,77,,0.0,-16,5,0,0.00,0.01,60,56,57,56,55,55,55,60,0,0,FUEL PRESS/OIL PRESS,,72
