#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="80.1",engine_hours="80.1"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Temp1 (deg F),Temp2 (deg F),Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,,,E1 FFlow,PTrim,RTrim,Flaps,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,,
2021-08-01,15:31:06,22:31:06,-07:00,+37.5103648,-122.4908449,47,3D-,81084.5,6.4,,2,2,0.46,,1.4,7,-128,37,-7,0.0,0,,,-0.016,0.974,+2.308,,309,,,,30.10,,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,22.2,681,,,081101F8 A29 A29,8,,,,,74,15,14,0.0,0,0,30.0,12.4,0,4,86,,0.0,-1,1,45,0.01,0.01,70,66,67,66,65,65,65,70,0,0,0,,,71
2021-08-01,15:31:07,22:31:07,-07:00,+37.5103533,-122.4908465,52,3D-,81085.0,5.8,,3,0,0.43,,1.4,7,-128,37,-6,0.0,1,,,-0.015,0.977,+2.277,,309,,,,30.10,,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,22.2,681,,,081101F8 A31 A31,8,,,1200,ALT,74,15,14,0.0,0,0,30.0,12.4,0,4,86,,0.0,-1,1,45,0.01,0.01,70,66,67,66,65,65,65,70,0,0,0,,,71
2021-08-01,15:31:08,22:31:08,-07:00,+37.5102933,-122.4908498,59,3D-,81086.0,7.0,,2,-4,0.47,,1.4,7,-128,37,0,0.0,-0,,,-0.013,0.971,+2.182,,309,,,,30.10,122.800,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,22.2,680,,,081101F8 A33 A33,6,,,1200,ALT,74,15,14,0.0,0,0,30.0,12.4,0,4,87,,0.0,-1,1,45,0.01,0.01,70,66,67,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,71
2021-08-01,15:31:09,22:31:09,-07:00,+37.5102488,-122.4908373,62,3D-,81087.0,9.5,,2,-5,0.46,,1.4,7,-128,37,0,0.0,0,,,-0.019,0.980,+2.157,,309,,,,30.10,122.800,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,22.2,679,,,081101F8 A36 A36,10,,,1200,ALT,74,15,14,0.0,0,0,30.0,12.4,0,4,87,,0.0,-1,1,45,0.01,0.01,70,66,67,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,71
2021-08-01,15:31:10,22:31:10,-07:00,+37.5102554,-122.4908509,64,3D-,81088.0,3.3,,0,-1,0.40,,1.4,7,-128,37,6,0.0,0,,,-0.016,0.978,+2.169,,309,,,,30.10,122.800,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,22.2,679,,,081101F8 A38 A38,9,,,1200,ALT,74,15,14,0.0,0,0,30.0,12.4,0,4,87,,0.0,-1,1,45,0.01,0.01,70,66,67,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,71
2021-08-01,15:31:11,22:31:11,-07:00,+37.5102693,-122.4908637,61,3D-,81089.0,0.5,,0,0,0.19,,1.4,7,-128,37,3,4.7,5,,,-0.011,0.978,+2.122,,309,,,,30.10,122.800,GPS,,,,,,,,,,,,,,PFT,,,,,,,,,,,,-13.2,22.1,678,,,081101F8 A40 A40,10,,,1200,ALT,74,15,14,0.0,0,0,30.0,12.4,0,4,88,,0.0,-1,1,45,0.01,0.01,70,66,67,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,71
2021-08-01,15:31:12,22:31:12,-07:00,+37.5102803,-122.4908715,58,3D-,81090.0,0.1,,0,0,0.11,,1.4,7,-128,37,5,2.3,3,,,-0.014,0.977,+1.748,,309,,,,30.10,122.800,GPS,,,,,,,,,,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.2,22.1,676,,,081101F8 A43 A43,8,,,1200,ALT,74,15,14,0.0,0,0,30.0,12.4,0,4,88,,0.0,-1,1,45,0.01,0.01,70,66,67,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,71
2021-08-01,15:31:13,22:31:13,-07:00,+37.5102896,-122.4908777,57,3D-,81091.0,0.0,,0,0,0.07,,1.4,7,-128,37,-2,-0.0,2,,,-0.015,0.977,+1.306,,309,,,,30.10,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,22.1,675,,,081101F8 A46 A46,7,,,1200,ALT,74,15,14,0.0,0,0,30.0,12.4,0,4,89,,0.0,-1,1,45,0.01,0.01,70,66,67,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,71
2021-08-01,15:31:14,22:31:14,-07:00,+37.5103031,-122.4908920,46,3D-,81092.0,0.0,,0,0,0.05,,1.4,7,-128,37,-5,-0.0,0,,,-0.016,0.976,+1.057,,309,,,,30.10,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,22.1,674,,,081101F8 A48 A48,6,,,1200,ALT,74,15,14,0.0,0,0,30.0,12.4,0,4,89,,0.0,-1,1,45,0.01,0.01,70,66,67,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,71
2021-08-01,15:31:15,22:31:15,-07:00,+37.5103061,-122.4908946,45,3D-,81093.0,0.0,,0,0,0.04,,1.4,7,-128,37,2,-0.0,1,,,-0.016,0.976,+0.949,,309,,,,30.10,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,22.1,672,,,081101F8 A49 A49,6,,,1200,ALT,74,15,14,0.0,0,0,30.0,12.4,0,4,89,,0.0,-1,1,45,0.01,0.01,70,66,67,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,71
2021-08-01,15:31:16,22:31:16,-07:00,+37.5103095,-122.4908984,45,3D-,81094.0,0.0,,0,0,0.03,,1.4,7,-128,37,3,0.0,0,,,-0.016,0.975,+0.906,,309,,,,30.10,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,22.1,671,,,081101F8 A52 A52,5,,,1200,ALT,74,15,14,0.0,0,0,30.0,12.4,0,4,90,,0.0,-1,1,45,0.01,0.01,70,66,67,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,71
2021-08-01,15:31:17,22:31:17,-07:00,+37.5103117,-122.4909014,45,3D,81095.0,0.0,,0,0,0.01,,1.4,7,-128,37,1,0.0,2,,,-0.016,0.974,+0.903,,309,,,,30.10,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,22.1,669,,,080001F8 A55 A55,6,,,1200,ALT,74,15,14,0.0,0,0,30.0,12.4,0,4,90,,0.0,-1,1,45,0.01,0.01,70,66,67,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,71
2021-08-01,15:31:18,22:31:18,-07:00,+37.5103137,-122.4909042,45,3D,81096.0,0.0,,0,0,0.01,,1.4,7,-128,37,5,0.1,1,,,-0.020,0.978,+0.867,,309,,,,30.10,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,22.1,668,,,040001F8 A58 A58,6,,,1200,ALT,74,15,14,0.0,0,0,30.0,12.4,0,4,90,,0.0,-1,1,45,0.01,0.01,70,66,67,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,71
2021-08-01,15:31:19,22:31:19,-07:00,+37.5103158,-122.4909068,45,3D,81097.0,0.0,,0,0,0.00,,1.4,7,-128,37,2,0.0,2,,,-0.015,0.976,+0.901,,309,,,,30.10,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,22.0,667,,,040001F8 A59 A59,6,,,1200,ALT,74,15,14,0.0,0,0,30.0,12.4,0,4,91,,0.0,-1,1,45,0.01,0.01,70,66,67,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,71
2021-08-01,15:31:20,22:31:20,-07:00,+37.5103179,-122.4909088,44,3D,81098.0,0.0,,0,0,-0.00,,1.4,7,-128,37,3,0.1,-0,,,-0.014,0.979,+0.944,,309,,,,30.10,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,22.0,665,,,040001F8 A61 A61,12,,,1200,ALT,74,15,14,0.0,0,0,30.0,12.4,0,4,91,,0.0,-1,1,45,0.01,0.01,70,66,67,66,65,65,65,70,0,0,0,FUEL PRESS/OIL PRESS,,71
