#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="MFD1",airframe_hours="109.9",engine_hours="109.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,FP,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,E1 %Pwr,,,
2021-10-31,12:20:15,19:20:15,-07:00,+37.5103763,-122.4909570,32,3D (PFD1),69632.9,0.0,,0,0,0.01,,1.4,7,-62,20,-10,0.0,0,,,-0.019,0.975,+1.526,,166,,,,30.01,122.800,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,16.2,66,,,040001F8 A62 A62,9,,,,,155,16,20,24.9,0,0,29.8,12.2,0,7,0.0,-5,4,,0.01,0.01,179,176,184,179,145,145,150,150,0,0,,,86
2021-10-31,12:20:15,19:20:15,-07:00,+37.5103767,-122.4909575,31,3D (PFD1),69633.1,0.0,,0,0,0.00,,1.4,7,-62,20,-11,0.0,1,,,-0.020,0.975,+1.592,,166,,,,30.01,122.800,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,16.2,66,,,040001F8 A62 A62,9,,,,,155,16,20,24.9,0,0,29.8,12.2,0,7,0.0,-5,4,,0.01,0.01,179,176,184,179,145,145,150,150,0,0,OIL PRESS,,86
2021-10-31,12:20:16,19:20:16,-07:00,+37.5103782,-122.4909591,30,3D (PFD1),69634.1,0.0,,0,0,-0.00,,1.4,7,-63,20,-10,0.0,-0,,,-0.019,0.975,+2.075,,166,,,,30.01,122.800,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,16.2,66,,,040001F8 A64 A64,8,,,1200,ALT,155,16,20,24.9,0,0,29.8,12.2,0,7,0.0,-5,4,,0.01,0.01,179,176,184,179,145,150,150,150,0,0,OIL PRESS,,86
2021-10-31,12:20:17,19:20:17,-07:00,+37.5103797,-122.4909602,30,3D (PFD1),69635.1,0.0,,0,0,0.00,,1.4,7,-63,20,-4,0.0,-0,,,-0.018,0.975,+2.499,,166,,,,30.01,122.800,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,16.2,66,,,040001F8 A66 A66,7,,,1200,ALT,155,16,20,24.9,0,0,29.8,12.2,0,7,0.0,-5,4,,0.01,0.01,179,176,184,179,145,150,150,150,0,0,OIL PRESS,,86
2021-10-31,12:20:18,19:20:18,-07:00,+37.5103812,-122.4909607,30,3D (PFD1),69636.1,0.0,,0,0,-0.00,,1.4,7,-63,20,-5,0.0,1,,,-0.018,0.976,+2.897,,166,,,,30.01,122.800,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,16.2,66,,,040001F8 A69 A69,6,,,1200,ALT,155,16,20,24.9,0,0,29.8,12.2,0,7,0.0,-5,4,,0.01,0.01,179,176,184,179,145,150,150,150,0,0,OIL PRESS,,86
2021-10-31,12:20:19,19:20:19,-07:00,+37.5103823,-122.4909608,29,3D (PFD1),69637.1,0.0,,0,0,0.00,,1.4,7,-63,19,-1,0.2,2,,,-0.018,0.975,+3.010,,166,,,,30.01,122.800,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,16.2,67,,,040001F8 A71 A71,7,,,1200,ALT,155,16,20,24.9,0,0,29.8,12.2,0,7,0.0,-5,4,,0.01,0.01,179,176,184,179,145,150,150,150,0,0,OIL PRESS,,86
2021-10-31,12:20:20,19:20:20,-07:00,+37.5103830,-122.4909611,29,3D (PFD1),69638.1,0.0,,0,0,0.00,,1.4,7,-63,19,1,-0.0,0,,,-0.018,0.976,+3.098,,166,,,,30.01,122.800,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,16.2,67,,,040001F8 A74 A74,6,,,1200,ALT,155,16,20,24.9,0,0,29.8,12.2,0,7,0.0,-5,4,,0.01,0.01,179,176,184,179,145,150,150,150,0,0,OIL PRESS,,86
2021-10-31,12:20:21,19:20:21,-07:00,+37.5103834,-122.4909617,29,3D (PFD1),69639.1,0.0,,0,0,0.00,,1.4,7,-63,19,-2,-0.0,0,,,-0.017,0.976,+3.373,,166,,,,30.01,122.800,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,16.2,67,,,040001F8 A76 A76,6,,,1200,ALT,155,16,20,24.9,0,0,29.8,12.2,0,7,0.0,-5,4,,0.01,0.01,179,176,184,179,145,150,150,150,0,0,OIL PRESS,,86
2021-10-31,12:20:22,19:20:22,-07:00,+37.5103836,-122.4909623,28,3D (PFD1),69640.1,0.0,,0,0,0.00,,1.4,7,-63,19,5,-0.0,0,,,-0.019,0.976,+3.348,,166,,,,30.01,122.800,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,-13.2,16.2,68,,,040001F8 A79 A79,6,,,1200,ALT,155,16,20,24.9,0,0,29.8,12.2,0,7,0.0,-5,4,,0.01,0.01,179,176,184,179,145,150,150,150,0,0,OIL PRESS,,86
