#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="PFD1",airframe_hours="82.0",engine_hours="82.0"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Temp1 (deg F),Temp2 (deg F),Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,Flaps,GP4,GP5,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,,,E1 FFlow,PTrim,RTrim,Flaps,,,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,,
2021-08-02,12:05:55,19:05:55,-07:00,+37.5134643,-122.4949907,-68,3D-,155173.0,27.9,110,13,-5,-40.03,,2.2,8,-154,48,-2,0.0,-0,,,-0.014,0.979,+1.680,,300,,,,30.14,,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,21.0,510,,,081101F8 A33 A33,5,,,,,169,21,20,37.1,0,0,30.1,12.7,0,5,96,,0.0,-11,5,45,0.01,0.01,221,236,248,240,240,240,280,245,0,0,0,,,72
2021-08-02,12:05:55,19:05:55,-07:00,+37.5134645,-122.4949468,-102,3D-,155173.4,26.8,110,12,-4,-39.97,,2.2,8,-154,48,-2,0.0,0,,,-0.013,0.976,+1.662,,300,,,,30.14,,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,21.0,510,,,081101F8 A34 A34,6,,,,,169,21,20,37.1,0,0,30.1,12.7,0,5,97,,0.0,-11,5,45,0.01,0.01,221,236,248,240,240,240,280,245,0,0,0,,,72
2021-08-02,12:05:56,19:05:56,-07:00,+37.5134867,-122.4948316,-184,3D-,155174.4,24.4,108,11,-4,-39.77,,2.2,8,-154,48,-6,0.0,-0,,,-0.015,0.980,+1.683,,300,,,,30.14,122.800,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,21.0,510,,,081101F8 A37 A37,6,,L+,1200,ALT,169,21,20,37.1,0,0,30.1,12.7,0,5,97,,0.0,-11,5,45,0.01,0.01,221,236,248,240,240,240,280,245,0,0,0,OIL PRESS,,72
2021-08-02,12:05:57,19:05:57,-07:00,+37.5135167,-122.4947855,-265,3D-,155175.4,20.0,,7,-0,-39.56,,2.2,8,-154,48,-6,0.0,-0,,,-0.012,0.979,+1.688,,300,,,,30.14,122.800,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,21.0,510,,,081101F8 A38 A38,6,,,1200,ALT,169,21,20,37.1,0,0,30.1,12.7,0,5,97,,0.0,-11,5,45,0.01,0.01,221,236,248,240,240,240,280,245,0,0,0,OIL PRESS,,72
2021-08-02,12:05:58,19:05:58,-07:00,+37.5135230,-122.4947078,-357,3D-,155176.4,14.5,,7,-0,-39.14,,2.2,8,-154,48,5,0.0,0,,,-0.014,0.978,+1.751,,300,,,,30.14,122.800,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,21.0,510,,,081101F8 A40 A40,6,,,1200,ALT,169,21,20,37.1,0,0,30.1,12.7,0,5,98,,0.0,-11,5,45,0.01,0.01,221,236,248,240,240,240,280,245,0,0,0,OIL PRESS,,72
2021-08-02,12:05:59,19:05:59,-07:00,+37.5135324,-122.4946428,-422,3D-,155177.4,13.7,,7,-0,-38.39,,2.2,8,-154,48,4,0.0,0,,,-0.012,0.979,+1.837,,300,,,,30.14,122.800,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,21.0,510,,,081101F8 A43 A43,6,,,1200,ALT,169,21,20,37.0,0,0,30.1,12.7,0,5,98,,0.0,-11,5,45,0.01,0.01,221,236,248,240,240,240,280,245,0,0,0,OIL PRESS,,72
2021-08-02,12:06:00,19:06:00,-07:00,+37.5135416,-122.4945761,-491,3D-,155178.4,13.4,,7,-0,-37.54,,2.2,8,-154,48,1,0.0,0,,,-0.015,0.979,+1.800,,300,,,,30.14,122.800,GPS,,,,,,,,,,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.2,21.0,510,,,081101F8 A45 A45,5,,,1200,ALT,169,21,20,37.0,0,0,30.1,12.7,0,5,99,,0.0,-11,5,45,0.01,0.01,221,236,248,240,240,240,280,245,0,0,0,OIL PRESS,,72
2021-08-02,12:06:01,19:06:01,-07:00,+37.5134809,-122.4947013,,2D-,155179.4,13.1,,0,0,,,1.3,8,-154,48,7,0.0,0,,,-0.013,0.977,+1.681,,300,,,,30.14,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,21.0,510,,,081101F8 A47 A47,6,,,1200,ALT,169,21,20,37.0,0,0,30.1,12.7,0,5,99,,0.0,-11,5,45,0.01,0.01,221,236,248,240,240,240,280,245,0,0,0,OIL PRESS,,72
2021-08-02,12:06:02,19:06:02,-07:00,+37.5134620,-122.4949662,-118,3D-,155180.4,1.8,,0,0,-0.01,,1.2,9,-154,48,4,0.0,-0,,,-0.014,0.978,+1.621,,300,,,,30.14,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,21.0,511,,,081101F8 A50 A50,6,,,1200,ALT,169,21,20,36.9,0,0,30.1,12.7,0,5,100,,0.0,-11,5,45,0.01,0.01,221,236,248,240,240,240,280,245,0,0,0,OIL PRESS,,72
