#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N430WB",unit_software_part_number="006-B1727-2G",product="GDU 460",software_version="8.81",system_id="60002EB05E7DB",unit="MFD1",airframe_hours="76.9",engine_hours="76.9"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Fuel L Qty (gal),Fuel R Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts,Alt Amps,Amps,Fuel Flow (gal/hour),Elevator Trim,Aileron Trim,CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),BU BATT LOW (discrete),CARBON MONOX (discrete),Engine Power (%),CAS Alert,Terrain Alert,Engine 1 Cycle Count
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,MagVar,OAT,AltD,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,FQty2,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Amps1,Amps2,E1 FFlow,PTrim,RTrim,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,E1 %Pwr,,,
2021-07-04,13:26:07,20:26:07,-07:00,+37.5134492,-122.4951690,67,3D- (PFD1),73585.1,0.0,,0,0,-0.04,,1.1,10,-54,9,-6,0.2,1,,,-0.017,0.977,-3.978,,120,,,,29.99,122.800,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,19.5,458,,,081101F8 A34 A34,7,,,1200,ALT,85,21,20,33.6,0,0,29.8,12.7,0,5,0.0,-9,29,169,162,174,168,205,190,235,200,0,0,0,OIL PRESS,,70
2021-07-04,13:26:08,20:26:08,-07:00,+37.5134487,-122.4951669,67,3D- (PFD1),73586.1,0.0,,0,0,-0.03,,1.1,10,-54,9,3,0.1,1,,,-0.018,0.978,-4.976,,120,,,,29.99,122.800,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,19.5,458,,,081101F8 A37 A37,5,,,1200,ALT,85,21,20,33.6,0,0,29.8,12.7,0,5,0.0,-9,29,169,162,174,168,205,190,235,200,0,0,0,OIL PRESS,,70
2021-07-04,13:26:09,20:26:09,-07:00,+37.5134482,-122.4951672,67,3D- (PFD1),73587.1,0.0,,0,0,-0.03,,1.1,10,-54,10,2,0.0,1,,,-0.016,0.977,-5.381,,120,,,,29.99,122.800,GPS,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,-13.2,19.5,458,,,081101F8 A39 A39,6,,,1200,ALT,85,21,20,33.6,0,0,29.8,12.7,0,5,0.0,-9,29,169,162,174,168,205,190,235,200,0,0,0,OIL PRESS,,70
2021-07-04,13:26:10,20:26:10,-07:00,+37.5134482,-122.4951679,68,3D- (PFD1),73588.1,0.0,,0,0,-0.02,,1.1,10,-54,10,4,0.1,2,,,-0.018,0.977,-5.415,,120,,,,29.99,122.800,GPS,,,,,,,,,,,,,,Fail/Servo communication fault/00000001 00000000,,,,,,,,,,,,-13.2,19.5,458,,,081101F8 A41 A41,6,,,1200,ALT,85,21,20,33.6,0,0,29.8,12.7,0,5,0.0,-9,29,169,162,174,168,205,190,235,200,0,0,0,OIL PRESS,,70
2021-07-04,13:26:11,20:26:11,-07:00,+37.5134480,-122.4951689,67,3D- (PFD1),73589.1,0.0,,0,0,-0.01,,1.1,10,-54,10,3,0.7,2,,,-0.017,0.978,-5.368,,120,,,,29.99,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,19.5,458,,,081101F8 A44 A44,6,,,1200,ALT,85,21,20,33.6,0,0,29.8,12.7,0,5,0.0,-9,29,169,162,174,168,205,190,235,200,0,0,0,OIL PRESS,,70
2021-07-04,13:26:12,20:26:12,-07:00,+37.5134483,-122.4951687,68,3D- (PFD1),73590.1,0.0,,0,0,-0.01,,1.5,10,-54,10,-1,0.0,0,,,-0.015,0.975,-5.324,,120,,,,29.99,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,19.5,459,,,081101F8 A47 A47,7,,,1200,ALT,85,21,20,33.6,0,0,29.8,12.7,0,5,0.0,-9,29,169,162,174,168,205,190,235,200,0,0,0,OIL PRESS,,70
2021-07-04,13:26:13,20:26:13,-07:00,+37.5134485,-122.4951684,68,3D- (PFD1),73591.1,0.0,,0,0,-0.01,,1.1,10,-54,10,-2,-0.0,1,,,-0.017,0.977,-4.818,,120,,,,29.99,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,19.5,460,,,081101F8 A50 A50,6,,,1200,ALT,85,21,20,33.6,0,0,29.8,12.7,0,5,0.0,-9,29,169,162,174,168,205,190,235,200,0,0,0,OIL PRESS,,70
2021-07-04,13:26:14,20:26:14,-07:00,+37.5134486,-122.4951700,67,3D- (PFD1),73592.1,0.0,,0,0,-0.01,,1.1,10,-54,10,-2,1.1,2,,,-0.014,0.976,-4.214,,120,,,,29.99,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,19.5,460,,,081101F8 A53 A53,7,,,1200,ALT,85,21,20,33.6,0,0,29.8,12.7,0,5,0.0,-9,29,169,162,174,168,205,190,235,200,0,0,0,OIL PRESS,,70
2021-07-04,13:26:15,20:26:15,-07:00,+37.5134485,-122.4951699,67,3D- (PFD1),73593.1,0.0,,0,0,-0.01,,1.6,9,-54,10,2,3.3,3,,,-0.018,0.978,-3.624,,120,,,,29.99,122.800,GPS,,,,,,,,,,,,,,Fail,,,,,,,,,,,,-13.2,19.5,461,,,081101F8 A55 A55,7,,,1200,ALT,85,21,20,33.6,0,0,29.8,12.7,0,5,0.0,-9,29,169,162,174,168,205,190,235,200,0,0,0,OIL PRESS,,70
